"","good","anova_pr_1","anova_pr_2","anova_pr_3","anova_pr_4","anova_pr_5"
"1","1",4.17922164388809e-50,2.69643822990729e-49,7.96382112313187e-67,6.35450707170073e-67,NA
"2","2",2.3588380212089e-39,2.17680160086612e-43,1.61806584249962e-43,1.53076905444428e-48,NA
"3","3",1.11029243848906e-12,2.46430809697143e-14,NA,NA,NA
"4","4",8.5462831217552e-58,1.55622671694348e-62,7.20671871135998e-65,6.57433936293037e-72,NA
"5","5",7.66692200751189e-05,0.000242322747301913,NA,NA,NA
"6","6",0.586889091065687,0.183189188150637,NA,NA,NA
"7","7",3.44515127690873e-42,4.54835716496129e-41,NA,NA,NA
"8","7.1",6.33438441189159e-20,4.1866297044074e-19,0.0255041057356792,0.0596430987218767,NA
"9","7_other",5.7196973260592e-29,2.50415780087329e-31,NA,NA,NA
"10","8",3.93468627765058e-22,4.68266840763413e-35,1.23303925043396e-30,1.43356180886662e-49,NA
"11","9",9.90455624804563e-30,1.13066496599493e-30,NA,NA,NA
"12","10",3.18187823368403e-09,9.14663365394624e-09,NA,NA,NA
"13","11",1.78900783552795e-35,2.33214417239487e-34,NA,NA,NA
"14","12",1.21681410832654e-13,3.78875922841592e-16,NA,NA,NA
