"","good","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",0.118374738794708,4.51379042541447e-92,0.969536754636721,0.969280760978206
"2","2",0.0247834044098563,4.8415169128641e-85,0.960014786303507,0.959678776104377
"3","3",0.0540516901422043,2.29641029648152e-113,0.986635119545409,0.986522809625622
"4","4",0.136126446931536,8.72322706255904e-69,0.925015547255282,0.924385425803646
"5","5",0.0776954773672107,1.14268395614662e-108,0.983971440970888,0.983836747197534
"6","6",0.0145416183534304,1.92138905456441e-88,0.964944838101313,0.964650256908887
"7","7",0.169084391566401,5.676514349273e-107,0.982884194962495,0.982740364668062
"8","7.1",0.0559728012879795,5.78613630708907e-67,0.951714711393408,0.951226981205463
"9","7_other",0.113216384999361,1.64112347687241e-98,0.988865742432311,0.988753275184153
"10","8",0.0317944725140588,4.97701237484935e-92,0.969486709223515,0.969230295015309
"11","9",0.154653811368554,4.02131865003225e-125,0.991520084496051,0.9914488247019
"12","10",0.0254452201296519,1.82440262784055e-30,0.679852970883242,0.677093082701201
"13","11",0.10267720770882,6.95171257557555e-104,0.980711932337997,0.980549847735795
"14","12",0.0908713499959156,3.42798601074039e-132,0.993549600642943,0.993495395606329
