"","good","int","int_pr","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",20.0770083875411,4.17922164388755e-50,0.0781009225830048,5.36590291735121e-76,0.944631706869259,0.944162484046117
"2","2",4.60853242963521,2.3588380212087e-39,0.0155388404542034,4.16068718506927e-57,0.884339730672554,0.883359558898592
"3","3",-3.86739339834193,1.11029243848896e-12,0.0618095536613445,5.94124114039511e-88,0.96527044642233,0.964976128171672
"4","4",37.9347242923155,8.54628312175496e-58,0.0600306419839009,5.513419903413e-43,0.799469496255103,0.797770085206417
"5","5",-3.63710178085715,7.66692200751128e-05,0.0849913835021306,5.41799642876667e-74,0.940129444984201,0.939622067399322
"6","6",0.144260401742031,0.586889091065679,0.0142522367486496,1.45634259341819e-47,0.83222418941839,0.830802360515156
"7","7",-20.6468984830196,3.44515127690829e-42,0.210501388501205,1.26920610853724e-114,0.987732878235856,0.987628919576838
"8","7.1",-10.096901692795,6.33438441189195e-20,0.0760417644145887,6.62481464331635e-62,0.940635151425903,0.940029387664942
"9","7_other",-10.776526769993,5.71969732605933e-29,0.134636195250088,3.12105092938168e-96,0.988164275080562,0.988043502377303
"10","8",4.34203297159818,3.93468627765092e-22,0.0230844976757847,6.0199902290616e-55,0.87417703044026,0.873110734088059
"11","9",-12.1103868881823,9.9045562480469e-30,0.178946847779793,1.20205398069791e-116,0.988664318292332,0.988568253193114
"12","10",-9.57882890653993,3.181878233684e-09,0.0445264772749909,1.35229191665462e-25,0.615104838035661,0.611757923583797
"13","11",-12.7949281397071,1.78900783552792e-35,0.128343411278286,3.73473409324234e-105,0.98224954699023,0.982099119422351
"14","12",-4.65030580831711,1.21681410832661e-13,0.100199709970532,1.97310629569367e-105,0.982440450157463,0.982291640413035
