"","X1","X2","X3","X4","X5","X6","X7.1","X7_other","X8","X9","X10","X11","X12"
"1",0,0,0,0,0,0,0,0,0,-0.952114935779391,-0.0788451165799093,0,0
"2",0,0,0,0,0,0,0,0,0,0,-0.329488408928678,0,0
"3",-0.608662156706022,0,0,0,0,0,0,0,0,-0.661150915630143,-0.0411995568931546,0,0
"4",0.993029361721988,0,-0.317244585607351,0,0,0,-0.917814414803238,0,0,-0.425411704851254,-0.0646724546089814,0,0
"5",-0.37138437232781,0,0,0,0,0,-0.273367706666773,0,0,0,0.19677661993609,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0.0537077231311187,0,0,0,0,0,0,0.44929938251934,0,0,0
"8",0,0,3.52172746872599,-0.736931177344384,-1.92202303029206,0,-6.44701786394432,0,0,6.66243887399798,0,0,0
"9",0,0,0,0,0,0,0.177055933776186,0,0,0,-0.0805865791897168,0,0
"10",-0.571745424607056,0,-0.964393385830688,0,0,0,1.3501199137733,0.0291189390712083,1.40623566225238,0,0,0,0
"11",-0.675229603838792,0,3.23443586619234,0,0,0,0.714076905629982,0,0,-1.31104708303244,0,0,-0.829235180442969
"12",11.2811720401591,0,-127.180397327869,-10.0169956814869,0,0,0,1.62955742000449,0,74.9225210862779,0,0,59.8119282682486
"13",-1.50983444127879,0,2.44850465385385,0,0,0,-0.842454961214254,0.738559809767065,0,0,-0.168187118313782,0,0
