"","X1","X2","X3","X4","X5","X6","X7.1","X7_other","X8","X9","X11","X12"
"1",0,0,-0.751404662107787,0.492941299889432,0.0386129450426342,-0.538318276270367,0.682183152927753,0.307037464332407,0,-1.06436587399509,-0.0998966494433063,0
"2",0,0,0,-0.0314137404659567,0,-0.925541159683104,1.21084388766769,0,0,0,0,0
"3",-0.543656284934001,-0.140796704402926,0,0,0,0,0,0,0,-0.303267878898802,0,0
"4",1.08527226549151,0,-1.25689258323599,0,0,0,-0.669773225413841,0,0,-0.0471504362722478,0,0
"5",0,0,0.186115828592016,0,0,0,-2.06777562980566,-1.05499944149688,0,3.3098599981535,0,0
"6",0,0,0,0.264364372051345,0,0,0,0,0,0,0,0.234466275988553
"7",0,0,0,0,0,0,0,0,0,0.726529173860472,0,0
"8",-0.605434536273981,0,0,0,0,0,-4.40392663975581,0,0,5.56976502876676,0,0
"9",0,0,-0.19504557816992,-0.0588194937423891,0,-0.108474542287766,0.881160940438685,0,0,0,0,0
"10",-0.547024361018384,0,-2.03539990471236,0,0,0,1.89439597632365,0,1.83526074060436,0,0,0
"11",0,0,1.62800553850811e-16,0,0,0,0,0,0,0,0,0
"12",-1.25851530252228,0,0.580827627342101,0,0,0,0,0.831833736305406,0,0,0,0
