"","sector","A","Alpha","Beta","Gamma"
"1","A01",1.36379653090698,0.413604394145023,0.111207217184912,0.475188388670066
"2","A02",1.60237743207415,0.188157104718136,0.353350687569224,0.458492207712639
"3","B",1.11319077871951,0.666116001761773,0.118468832411614,0.215415165826613
"4","C18",1.05826381338121,0.586832042482431,0.259328108918948,0.153839848598621
"5","C19",1.28153941327944,0.698414332924144,0.0723455499542292,0.229240117121627
"6","C22",0.94132217108105,0.51241778231636,0.444729572943249,0.0428526447403915
"7","C23",1.26095734112882,0.395536465868423,0.469572660334255,0.134890873797322
"8","C25",1.67665128312767,0.10975588060227,0.537590310321366,0.352653809076365
"9","C28",1.0363481359352,0.466018922094092,0.458993948514753,0.0749871293911548
"10","C31_32",0.842787285253797,0.753762950847099,0.220136351440931,0.0261006977119702
"11","D",0.873040730822333,0.751773632856366,0.0866511518783632,0.161575215265271
"12","F",1.75792255055713,0.570714872829243,0.0987470871232217,0.330538040047535
"13","H",1.11094117653747,0.314388385550597,0.564561458866613,0.12105015558279
"14","N",0.9522947631706,0.596503952611763,0.383737969145855,0.0197580782423823
"15","O",1.09396084851901,0.137647895490417,0.630256523169519,0.232095581340064
"16","P",1.24776538291322,0.31880473799321,0.357766908097548,0.323428353909242
"17","Q",1.90378074377364,0.293286123041117,0.244476708210004,0.462237168748879
