,Sector,A,Alpha,Beta,MSE,direction
1,A03,1.389880598,0.645886274,0.00286699,0.057276436,27
2,C10T12,1.110951784,0.745597558,0.005633939,0.001473668,24
3,C13T15,0.955754556,0.47798342,0.518558638,0.005962532,27
4,C16,0.783532109,0.67341569,0.323748623,0.006205585,8
5,C17,0.964414037,0.447838165,0.54819904,0.001338271,27
6,C20,0.797505658,0.684455644,0.314372338,0.005673129,21
7,C21,1.383885411,0.214951405,0.781880487,0.011242875,27
8,C24,0.480411132,0.879934385,0.116593413,0.021704097,11
9,C26,1.243158643,0.511066139,0.241375496,0.064715695,16
10,C27,0.474568106,0.998978092,0.001,0.003553432,27
11,C29,1.495595844,0.283183835,0.48200004,0.011179784,27
12,C30,0.984135329,0.461959024,0.533836936,0.015161974,27
13,C33,0.793224995,0.65766386,0.338290411,0.004743003,27
14,E,1.641950543,0.001,0.785053313,0.012385163,16
15,G,2.953398712,0.023035806,0.003496204,0.004063928,27
16,I,0.892657292,0.610375609,0.385916153,0.006316856,27
17,J,0.934221369,0.598052652,0.400014205,0.000290966,17
18,K,1.358829987,0.289101299,0.598610944,0.000619723,27
19,L,1.930290382,0.002963152,0.356730078,0.0167591,26
20,M,1.477970633,0.194381958,0.552559108,0.002621126,17
21,R,1.568544268,0.516178969,0.032346585,0.004707066,27
22,S,1.578433066,0.001447108,0.765238099,0.016144315,27
