"","Sector","A","Alpha","Beta","MSE","direction"
"1","A03",2.51093925,0.586371264953127,0.001,0.0620735077714598,2
"2","C10T12",1.7219285564622,0.741796765238366,0.001,0.00144152897525387,27
"3","C13T15",2.24321902348055,0.554747914989924,0.443956043731037,0.00861563940363848,27
"4","C16",2.67726682887823,0.490391089883386,0.44775547883348,0.00942540108882904,27
"5","C17",2.45598208039045,0.543340584222881,0.452901298198629,0.00615281873608739,27
"6","C20",2.94459020521754,0.478647624009551,0.51892496243911,0.00745396569310308,27
"7","C21",3.01304638836338,0.473737250933656,0.430355334832918,0.0280494639814697,14
"8","C24",0.965549404233868,0.87042381221461,0.125976046917958,0.0219015137031096,8
"9","C26",2.69954585636287,0.501999485729809,0.246593538971987,0.0649226150923625,12
"10","C27",0.840239523798117,0.914765484347389,0.0818096544409739,0.00648890085268596,27
"11","C29",2.46254083541915,0.563147980965615,0.38705583702769,0.0089531883754049,27
"12","C30",2.19987773184682,0.627362930556747,0.368837231379106,0.0440548464097427,27
"13","C33",2.66211271442859,0.515463212481036,0.405997222151448,0.019257850621829,6
"14","E",2.25176089653297,0.634283918203714,0.306535235983378,0.0174250029203089,27
"15","G",3.62000244997266,0.379857317956794,0.00287960923218395,0.0591427877828491,1
"16","I",1.81785811666064,0.627369085252612,0.369109292442258,0.00654117128534449,27
"17","J",2.11677131068153,0.670988258283839,0.308174485856432,0.000881242913263029,27
"18","K",2.28531951062093,0.6285505054915,0.370948203758609,0.00311645956805305,27
"19","L",3.59745589005929,0.185289360559268,0.138548397601248,0.0394306162375255,9
"20","M",2.20671707169656,0.638241595631397,0.334824911168684,0.00547337442345911,27
"21","R",2.50712468373838,0.503162246086494,0.482690439986721,0.00511353098825588,27
"22","S",2.50624918635119,0.59520704655247,0.284355935118882,0.027539453228652,27
