Section,Year,Perc_10,Perc_20,Perc_30,Perc_40,Perc_50,Perc_60,Perc_70,Perc_80,Perc_90,Perc_100,All
Lower Bound,2019,0,253,369,479,612,761,918,1102,1366,1808,0
1,2019,35.3,42.4,47.9,52.3,60.4,66.9,68.8,74.3,82.7,90.9,62.2
2,2019,8,9.1,9.8,9,12.3,12,12,14.4,16.8,18.2,12.2
3,2019,6.8,7.5,10.2,12.4,15,18,18.3,26.6,26.7,34.3,17.6
4,2019,64.7,72.4,80.4,84.9,90.3,90.8,90.8,93.9,101.6,107.2,87.7
5,2019,16.7,19.5,22.5,25.8,28.7,34.7,37.1,43.9,51.2,67.1,34.7
6,2019,4.8,3.6,8.5,10.7,6.8,6.6,10.3,7.6,14.5,17.5,9.1
7,2019,24.4,27.8,38.9,51.3,66.6,71.4,82.8,99.5,112.7,168.8,74.4
7.1,2019,8.9,7,12.3,21.5,26.7,26.6,32.9,41.6,46.4,85.2,30.9
7_other,2019,15.5,20.8,26.6,29.8,39.9,44.8,49.9,57.9,66.3,83.6,43.5
8,2019,11.6,15,15.6,18.1,21.8,22.6,23.8,26.1,27.6,29.8,21.2
9,2019,25,23.8,32.4,39.2,52.1,54.1,67.4,61.2,81,124.6,56.1
10,2019,[2.10],..,[4.10],[3.70],[1.60],[1.70],[4.00],[7.20],6.7,20,5.2
11,2019,10.4,13.2,16.8,22.3,30.5,35.4,37.7,46.6,52.8,82.2,34.8
12,2019,18.4,18.5,25.9,33.4,34.9,37,44.9,50.1,61.5,82,40.6
Lower Bound,2018,0,216,322,432,548,681,812,986,1252,1713,0
1,2018,30.6,40,48.4,52.7,56.6,63.6,67,75.2,83.2,92.9,61
2,2018,7.3,8.2,9.4,9.9,12.3,13.2,13.9,15.7,15.3,20.8,12.6
3,2018,7.6,9.7,13.5,15.6,19.7,23.7,29.8,30.5,41.4,55.6,24.7
4,2018,50.5,53.3,66.9,69.7,80.5,86.4,87.3,80.7,83.4,103.2,76.2
5,2018,13.7,18.5,26.5,28,33.6,37.1,43.5,52.4,60.6,95.1,40.9
6,2018,1.8,2.8,5,4.5,6.9,6,7.3,9,12.9,13.4,7
7,2018,16.5,26.6,39.3,56.1,63.6,77.7,93.1,110.1,120.6,208.4,81.2
7.1,2018,3.1,6.8,11.2,21.4,21.8,23.1,32.1,41.9,36,81.7,27.9
7_other,2018,13.4,19.8,28.1,34.7,41.8,54.6,61,68.2,84.6,126.7,53.3
8,2018,8.4,11,13.9,14.8,16.9,18.2,20.7,22.4,24,28.6,17.9
9,2018,22.9,30.5,46.8,48.4,61,80.1,83.1,94.1,112.7,170.8,75
10,2018,..,..,0.9,4.5,1.4,3,11.9,13.4,3.5,41.4,8.7
11,2018,13.3,18.1,25.3,30.5,40.2,48.5,50.5,66.5,86.6,123.8,50.3
12,2018,13.4,19.6,27,36.9,36.8,41,47.8,56.2,69.4,89.7,43.8
Lower Bound,2017,0,209,312,410,523,648,788,961,1217,1619,0
1,2017,28.5,37.2,44.7,52,57.3,61,64.2,70.3,79.3,85.4,58
2,2017,6.8,9,8,10.4,12,12.2,12.8,15.2,15.3,17.5,11.9
3,2017,7.5,9.9,13.1,18.4,23.6,23.7,27.4,35.3,40.5,51.8,25.1
4,2017,44,55.8,62.6,66.6,81,79.8,82.7,74.7,81.4,97.1,72.6
5,2017,12.5,17,26.8,33.7,33.7,40.2,40.3,43.5,53.4,92.3,39.3
6,2017,2.9,3.6,4.8,7.3,6.6,10,7,8.3,11.1,11.6,7.3
7,2017,21.1,28.6,39,54.6,67.5,82.6,91.2,115.9,125.5,171.4,79.7
7.1,2017,7.3,9.1,12.2,19.3,22.2,32.9,34.6,48.6,41.2,64.8,29.2
7_other,2017,13.8,19.5,26.8,35.3,45.3,49.7,56.6,67.3,84.3,106.6,50.5
8,2017,8.4,10.7,13.2,15.5,16.8,18,18.3,21.1,24,25.9,17.2
9,2017,23.5,31.4,39.8,56.4,66.6,69.6,84,100.7,108.1,154.8,73.5
10,2017,..,1.3,0.9,4.6,4.3,1.3,7.4,4.1,7.8,24.7,5.7
11,2017,14.8,17.8,25.4,32.6,40.3,48.7,54.8,64.3,83.8,118.1,50.1
12,2017,15,18.8,24.1,27.2,38.6,39.5,43.6,53.4,69.3,88,41.8
Lower Bound,2016,0,199,298,386,487,608,744,903,1112,1509,0
1,2016,29.4,37.1,43.6,49.2,53.9,57,66.5,69.2,73.6,88.8,56.8
2,2016,6.8,8.2,9.3,9,10.2,12.3,12.9,13.8,13.6,17.4,11.4
3,2016,6.2,9.9,13.4,17.2,17.9,22.6,27.3,32.1,39.1,48.9,23.5
4,2016,45.2,59,58.8,70.6,73.9,79.9,78.1,73,86,100.3,72.5
5,2016,10.8,18.2,21.2,23.9,29.9,40.8,41.8,37.4,58.6,72.3,35.5
6,2016,2.4,2.6,4.7,5.4,5.6,10.5,8,6.9,9.4,16.5,7.2
7,2016,12.6,26.1,33.7,42.4,60.1,71.2,82.6,102.7,119.7,176.5,72.7
7.1,2016,2.4,9.9,8.1,14.2,19.3,25.7,29.8,36.2,42.2,60.5,24.8
7_other,2016,10.2,16.2,25.6,28.2,40.8,45.5,52.8,66.5,77.5,116,47.9
8,2016,7.3,9.6,11.3,13.3,16.7,17.1,18.2,20.6,21,24.8,16
9,2016,16,27.8,35,44.2,56.7,75.4,79.5,87.6,103.8,154.1,68
10,2016,3,2.5,1,1.3,5,2,6.4,9.3,8.6,31.1,7
11,2016,9.5,15.6,21.9,29,35.8,46.4,53,59.4,73.5,107.3,45.1
12,2016,10.5,16.9,22.1,26.8,37.5,42.9,42.3,49.5,61.2,87,39.7
Lower Bound,2015,0,193,288,383,490,604,738,911,1140,1536,0
1,2015,30.7,38.3,46.2,51.3,57.8,60,63.4,67.8,76.4,90.8,58.3
2,2015,7.1,7.9,7.7,11,12.3,12.3,14.4,13.2,14.9,19,12
3,2015,6.5,9.6,13.9,16.3,20.8,23.2,24,31.2,38.8,52.3,23.7
4,2015,48.4,54.5,60.8,66,77,80.5,79.7,73.2,77.7,110.7,72.8
5,2015,10.5,14.2,26.2,25.9,30.2,32.7,34.4,49.8,59.3,83.7,36.7
6,2015,2.1,4.7,4,4.4,6.4,6.8,12.2,9.1,7.9,12.8,7
7,2015,16.2,20.5,36.7,45.7,55.5,70.2,85.6,104.8,127.4,170.3,73.3
7.1,2015,3.7,5.4,10.6,12.5,12.8,24.2,25.8,38.2,47.3,59,24
7_other,2015,12.5,15.1,26.1,33.2,42.7,46,59.8,66.6,80.1,111.3,49.3
8,2015,7.6,9.2,11.8,13,15,16,17.7,19.3,21.3,24,15.5
9,2015,18,30,35.7,44.4,54.1,69.8,80.1,86.5,109.3,164.8,69.3
10,2015,1.7,0.5,1,0.7,5.6,4.6,15,6.6,6.9,47.8,9
11,2015,11.2,17.5,20.7,26.4,35.7,40,49.5,58.3,62.1,103.8,42.5
12,2015,11.3,19.3,22.7,26.8,33.3,38.8,45.1,54.6,61.8,90.6,40.4
Lower Bound,2014,0,191,287,386,488,603,736,906,1130,1504,0
1,2014,30.2,38.5,46.6,51.4,59.2,60.4,65.9,68.2,76.4,90.9,58.8
2,2014,6.9,8.4,8.4,10.6,12.3,13.8,14.4,15,15,17.9,12.3
3,2014,6.5,8.8,14.4,15.8,19.5,23.1,26.7,29.2,40.7,52.6,23.7
4,2014,47.1,54.4,63.6,66.6,72.4,81.1,78.8,75,82.6,105.2,72.7
5,2014,10.1,13.8,24.2,23.7,29.3,35.3,33.8,45.4,53.7,85.1,35.4
6,2014,1.9,5.2,3.7,3.9,7.1,8.3,9.5,9.3,9.9,12.1,7.1
7,2014,16.5,23.3,36.4,46.6,60.8,69.1,86.9,105.5,131.5,171.6,74.8
7.1,2014,4.3,8.2,9.8,12.4,16.4,22.3,24.9,36.7,50.5,62.1,24.8
7_other,2014,12.2,15.1,26.6,34.2,44.4,46.8,62,68.8,81,109.5,50
8,2014,7.6,8.9,11.7,13.3,14.9,15.6,19.2,19.3,21.7,22.5,15.5
9,2014,18,28,37,42.6,52.8,67.5,81.2,90.3,109.1,161.8,68.8
10,2014,1.7,0.2,0.9,1.6,4.8,4.2,12.6,6.8,12.7,52.2,9.8
11,2014,11.7,17.5,20.2,26.2,34.2,37.9,49.8,60.3,62.8,104.1,42.5
12,2014,12.6,16.6,22.4,26.6,34.2,37.4,46.1,55.6,62.8,85.5,40
Lower Bound,2013,0,178,265,358,462,574,696,856,1078,1442,0
1,2013,30.5,37.8,44.5,49.6,54.3,63.3,65,71.8,78.7,92.6,58.8
2,2013,7.3,6.9,9.3,10.6,11.3,12.9,14.2,14.3,15.3,18.3,12
3,2013,6,7.4,13.1,13.3,17.4,24.9,26.3,33.2,36.5,47.9,22.6
4,2013,50.1,57.7,67.9,73.7,78.4,81.8,79.1,79.2,81.4,94.5,74.4
5,2013,13.3,15.3,20.8,22.9,27.6,30.5,41.7,37.1,43.5,78.9,33.1
6,2013,1.7,2.7,3,4.9,4.3,7.2,8.2,10.2,10.3,9.8,6.2
7,2013,15.7,19.3,33.4,41.5,56.7,77,76.9,95.7,125.1,163.1,70.4
7.1,2013,4.1,3.9,7.2,10.9,15.4,26,22.1,27,42.7,51.8,21.1
7_other,2013,11.6,15.4,26.2,30.6,41.3,51,54.8,68.7,82.4,111.3,49.3
8,2013,6.9,8.3,10.4,12.1,13.7,15.7,17.3,18.2,20.3,21.7,14.5
9,2013,17.6,21.8,32,40.6,57.2,59.4,69.1,84.6,94.6,162.4,63.9
10,2013,4.3,1.7,3.4,16.7,6.3,1.5,5.8,13.5,9.6,25.2,8.8
11,2013,9.3,12.5,20.6,25.9,30.1,40.4,46.8,53.4,69.9,94.8,40.4
12,2013,11.3,15.5,22.9,26.3,32,37.8,46.1,49.4,63.6,86.5,39.1
