,X1,X2,X3,X4,X5,X6,X7.1,X7_other,X8,X9,X11,X12
X1,0.615763196,0,-0.647530474,0.789106783,0.019306473,-0.269159138,0.341091576,-0.149198536,0,-0.805695118,-0.049948325,-0.629257651
X2,0,-0.770282131,-0.070398352,-0.01570687,0,-0.46277058,0.605421944,0,0,0,0,0
X3,-0.647530474,-0.070398352,4.262084296,-0.628446292,0.093057914,0,0,0,-0.097522789,-1.169333892,8.14E-17,0.290413814
X4,0.789106783,-0.01570687,-0.628446292,0.170436882,0,0.132182186,-0.334886613,0,-0.029409747,-0.023575218,0,0
X5,0.019306473,0,0.093057914,0,-0.40678804,0,-1.033887815,-0.527499721,0,1.654929999,0,0
X6,-0.269159138,-0.46277058,0,0.132182186,0,1.307756915,0,0,-0.054237271,0,0,0.117233138
X7.1,0.341091576,0.605421944,0,-0.334886613,-1.033887815,0,0.188242864,-2.20196332,0.44058047,1.310462575,0,0
X7_other,-0.149198536,0,0,0,-0.527499721,0,-2.20196332,-1.11466128,0,2.784882514,0,0.415916868
X8,0,0,-0.097522789,-0.029409747,0,-0.054237271,0.44058047,0,-1.205496939,0.91763037,0,0
X9,-0.805695118,0,-1.169333892,-0.023575218,1.654929999,0,1.310462575,2.784882514,0.91763037,-4.890501183,0,0
X11,-0.049948325,0,8.14E-17,0,0,0,0,0,0,0,0.119988168,0
X12,-0.629257651,0,0.290413814,0,0,0.117233138,0,0.415916868,0,0,0,0.125654171
