Year,Q_auto,Q_all,Q_rem,K_Auto,K_all,K_rem,L_auto,L_all,L_rem
2010,46065.9,460880.5,414814.6,3472,237519,234047,4471.488,692646.12,688174.632
2011,52939,488362,435423,3423,244681,241258,4365.024,692906.67,688541.646
2012,54769.2,473368.7,418599.5,3417,252915,249498,4577.952,697023.36,692445.408
2013,60216.7,478802.8,418586.1,3628,260360,256732,4897.344,705986.28,701088.936
2014,64295.1,494307.6,430012.5,3888,268937,265049,5039.296,727716.15,722676.854
2015,68016.6,490253.5,422236.9,4304,278428,274124,5500.64,748794.645,743294.005
2016,74194.3,504512.6,430318.3,4963,291166,286203,5713.568,761222.88,755509.312
2017,77796.8,530336.3,452539.5,5445,307323,301878,5429.664,769742.865,764313.201
2018,77870.1,543042.3,465172.2,5703,319434,313731,5891.008,774432.765,768541.757
2019,74792.4,544149.7,469357.3,6049,333331,327282,5607.104,783499.905,777892.801
2020,56252,485676,429424,6341,340924,334583,5749.056,768570.39,762821.334
2021,58762.3,531282.2,472519.9,6376,349448,343072,5642.592,791576.955,785934.363
